Item Number 1               Name: Brother's medallion                                 Age:  500 years,   46 days 	Tags: Dangerous,Important,Magic,Remembered,Token,Trinket
Item Number 420             Name: Tea cup that judges your manners                    Age:   47 years,  289 days 	Tags: Clothing,NonMagic,Safe,Sentient
Item Number 421             Name: Bronze feather that won’t stop twitching            Age:    0 years,  178 days 	Tags: NonMagic,RawMaterial,Safe,Sentient
Item Number 422             Name: Leather scrap that quotes obscure laws              Age:    7 years,  356 days 	Tags: Clothing,NonMagic,Safe,Sentient
Item Number 423             Name: Brass gear that criticizes your grip                Age:  490 years,  153 days 	Tags: NonMagic,Part,Safe,Sentient
Item Number 424             Name: Chalk nub that doodles rude gestures                Age:    0 years,    8 days 	Tags: NonMagic,Part,Recent,Remembered,Safe,Sentient
Item Number 425             Name: Twine loop that recites limericks                   Age:    8 years,  364 days 	Tags: NonMagic,Part,Safe,Sentient
Item Number 426             Name: Metal cube that hums when stared at                 Age:   75 years,   76 days 	Tags: Device,NonMagic,Safe,Sentient
Item Number 427             Name: Single shoe lace that tangles spitefully            Age:    0 years,    1 days 	Tags: Clothing,NonMagic,Recent,Remembered,Safe,Sentient
Item Number 428             Name: Tooth that tells tall tales                         Age:   16 years,  205 days 	Tags: NonMagic,Safe,Sentient,Weapon
Item Number 429             Name: Shard of mirror that flatters unconvincingly        Age:   57 years,  215 days 	Tags: NonMagic,Safe,Sentient,Trinket
Item Number 430             Name: Copper disc that makes suggestions                  Age:    2 years,  244 days 	Tags: NonMagic,Safe,Sentient,Trinket
Item Number 431             Name: Cloth patch that mumbles directions                 Age:    0 years,    5 days 	Tags: Clothing,NonMagic,Recent,Remembered,Safe,Sentient
Item Number 432             Name: Wood chip that critiques poetry                     Age:  421 years,  109 days 	Tags: NonMagic,RawMaterial,Safe,Sentient
Item Number 433             Name: Soap bubble in a jar that giggles                   Age:    0 years,   24 days 	Tags: NonMagic,Potion,Safe,Sentient
Item Number 434             Name: Stone bead that swears under its breath             Age:    0 years,   33 days 	Tags: NonMagic,Safe,Sentient,Trinket
Item Number 435             Name: Ink vial that refuses refills                       Age:   12 years,  197 days 	Tags: NonMagic,Potion,Safe,Sentient
Item Number 436             Name: Bone chip that’s “seen worse”                       Age:  457 years,  137 days 	Tags: NonMagic,Safe,Sentient,Trinket
Item Number 437             Name: Worn coin that recounts old wars                    Age:    3 years,  294 days 	Tags: Currency,NonMagic,Safe,Sentient
Item Number 438             Name: Fingernail clipping that offers advice              Age:    0 years,    2 days 	Tags: NonMagic,RawMaterial,Recent,Remembered,Safe,Sentient
Item Number 439             Name: Scarf tassel that mutters gossip                    Age:  513 years,  104 days 	Tags: Clothing,NonMagic,Safe,Sentient
Item Number 440             Name: Twig with a martyr complex                          Age:    7 years,  164 days 	Tags: NonMagic,RawMaterial,Safe,Sentient
Item Number 441             Name: Screw that grumbles during storms                   Age:    0 years,   16 days 	Tags: Important,NonMagic,Part,Remembered,Safe,Sentient
Item Number 442             Name: Knitted pouch that narrates travel logs             Age:    2 years,  314 days 	Tags: Clothing,NonMagic,Safe,Sentient
Item Number 443             Name: Ink blot that critiques fashion                     Age:    2 years,  158 days 	Tags: NonMagic,Safe,Sentient,Trinket
Item Number 444             Name: Bottlecap that hosts debates                        Age:   99 years,   84 days 	Tags: NonMagic,Safe,Sentient,Trinket
Item Number 445             Name: Paperclip that asks about your day                  Age:  100 years,    2 days 	Tags: NonMagic,Safe,Sentient,Trinket
Item Number 446             Name: Tin whistle that wheezes nervously                  Age:    0 years,    9 days 	Tags: Device,NonMagic,Recent,Remembered,Safe,Sentient
Item Number 447             Name: Bone button that shouts opinions                    Age:   42 years,  101 days 	Tags: Clothing,NonMagic,Safe,Sentient
Item Number 448             Name: Crumpled leaf that longs for autumn                 Age:  444 years,  159 days 	Tags: Nature,NonMagic,Safe,Sentient
Item Number 449             Name: Eyedropper that blinks                              Age:    0 years,  181 days 	Tags: NonMagic,Potion,Safe,Sentient
Item Number 450             Name: Unlit match that tells bedtime stories              Age:    0 years,    4 days 	Tags: NonMagic,Recent,Remembered,Safe,Sentient,Weapon
Item Number 451             Name: Half loaf of crusty bread                           Age:   53 years,  127 days 	Tags: FOOD,NonMagic,Safe
Item Number 452             Name: Wedge of hard cheese (cracked)                      Age:  238 years,  331 days 	Tags: Dangerous,FOOD,NonMagic
Item Number 453             Name: Sealed tin of smoked fish                           Age:    0 years,   51 days 	Tags: FOOD,NonMagic,Recent,Remembered,Safe
Item Number 454             Name: Dried sausage link (wrapped)                        Age:    4 years,  353 days 	Tags: FOOD,NonMagic,Safe
Item Number 455             Name: Pouch of trail mix with nuts and berries            Age:    3 years,  327 days 	Tags: FOOD,NonMagic,Safe
Item Number 456             Name: Slice of rye toast (charred edge)                   Age:    0 years,    3 days 	Tags: FOOD,NonMagic,Recent,Remembered,Safe
Item Number 457             Name: Salted meat scrap in wax paper                      Age:   17 years,  326 days 	Tags: FOOD,NonMagic,Safe
Item Number 458             Name: Wax-sealed jar of gooseberry jam                    Age:   39 years,  351 days 	Tags: FOOD,NonMagic,Safe
Item Number 459             Name: Corked bottle of red wine (aged)                    Age:  134 years,   90 days 	Tags: Dangerous,FOOD,NonMagic
Item Number 460             Name: Melted lump of honey candy                          Age:    2 years,  142 days 	Tags: FOOD,NonMagic,Safe
Item Number 461             Name: Crumb-covered slice of pie (unidentified)           Age:    0 years,    2 days 	Tags: FOOD,NonMagic,Recent,Remembered,Safe
Item Number 462             Name: Cracked biscuit with mold spots                     Age:  100 years,  201 days 	Tags: Dangerous,FOOD,NonMagic
Item Number 463             Name: Boiled egg (smeared)                                Age:    0 years,  101 days 	Tags: FOOD,NonMagic,Safe
Item Number 464             Name: Bundle of dried seaweed                             Age:    3 years,   54 days 	Tags: FOOD,NonMagic,Safe
Item Number 465             Name: Tiny wrapped caramel                                Age:    0 years,    4 days 	Tags: FOOD,NonMagic,Recent,Remembered,Safe
Item Number 466             Name: Bone-in chicken leg (cold)                          Age:    1 years,  313 days 	Tags: FOOD,NonMagic,Safe
Item Number 467             Name: Dry stick of jerky (peppered)                       Age:   24 years,  338 days 	Tags: FOOD,NonMagic,Safe
Item Number 468             Name: Crumbly hunk of blue cheese                         Age:  104 years,  161 days 	Tags: FOOD,NonMagic,Safe
Item Number 469             Name: Half-eaten meat pie (cool)                          Age:    0 years,  359 days 	Tags: FOOD,NonMagic,Safe
Item Number 470             Name: Wrapped sugar cube packet                           Age:    0 years,   24 days 	Tags: FOOD,NonMagic,Safe
Item Number 471             Name: Flatbread roll with onion flake                     Age:    0 years,    7 days 	Tags: FOOD,NonMagic,Recent,Remembered,Safe
Item Number 472             Name: Sachet of herbal tea (faded label)                  Age:  362 years,  110 days 	Tags: Dangerous,FOOD,NonMagic
Item Number 473             Name: Pickled egg in cloudy brine                         Age:   28 years,  319 days 	Tags: FOOD,NonMagic,Safe
Item Number 474             Name: Bottle of plum liquor (half-full)                   Age:   24 years,   61 days 	Tags: FOOD,NonMagic,Safe
Item Number 475             Name: Chunk of stale sponge cake                          Age:    4 years,  271 days 	Tags: FOOD,NonMagic,Safe
Item Number 476             Name: Folded pastry with fruit filling                    Age:    5 years,  299 days 	Tags: FOOD,NonMagic,Safe
Item Number 477             Name: Clay-sealed jar of olives                           Age:  183 years,  224 days 	Tags: FOOD,NonMagic,Safe
Item Number 478             Name: Tin cup of stew grease (solid)                      Age:  501 years,  182 days 	Tags: Dangerous,FOOD,NonMagic
Item Number 479             Name: Bundle of wrapped taffy (various colors)            Age:    0 years,   18 days 	Tags: FOOD,NonMagic,Recent,Remembered,Safe
Item Number 480             Name: Brown apple slice (soft)                            Age:    2 years,  109 days 	Tags: FOOD,NonMagic,Safe
Item Number 481             Name: Cracked plate with soup residue                     Age:    3 years,  128 days 	Tags: FOOD,NonMagic,Safe
Item Number 482             Name: Waxy chunk of smoked cheese                         Age:  117 years,  199 days 	Tags: FOOD,NonMagic,Safe
Item Number 483             Name: Cup of cold porridge (with spoon)                   Age:    0 years,   35 days 	Tags: FOOD,NonMagic,Safe
Item Number 484             Name: Flask of thick mushroom broth                       Age:   40 years,  122 days 	Tags: FOOD,NonMagic,Safe
Item Number 485             Name: Dried fig (wrinkled)                                Age:   10 years,  160 days 	Tags: FOOD,NonMagic,Safe
Item Number 486             Name: Bag of stale peanuts (salted)                       Age:   16 years,  297 days 	Tags: FOOD,NonMagic,Safe
Item Number 487             Name: Strip of eel jerky                                  Age:   42 years,  257 days 	Tags: FOOD,NonMagic,Safe
Item Number 488             Name: Tin of preserved lemon wedges                       Age:    0 years,    5 days 	Tags: FOOD,NonMagic,Safe
Item Number 489             Name: Small meat skewer (grilled)                         Age:    0 years,   62 days 	Tags: FOOD,NonMagic,Safe
Item Number 490             Name: Box of powdered sugar cubes                         Age:   10 years,  222 days 	Tags: FOOD,NonMagic,Safe
Item Number 491             Name: Wedge of dragonfruit (dried)                        Age:    9 years,  159 days 	Tags: FOOD,NonMagic,Safe
Item Number 492             Name: Jar of pickled cabbage                              Age:    4 years,  354 days 	Tags: FOOD,NonMagic,Safe
Item Number 493             Name: Wrapped meat dumpling (cold)                        Age:    3 years,  293 days 	Tags: FOOD,NonMagic,Safe
Item Number 494             Name: Cracked ceramic dish of baked beans                 Age:    1 years,   85 days 	Tags: FOOD,NonMagic,Safe
Item Number 495             Name: Old soup bone (licked clean)                        Age:  106 years,   22 days 	Tags: Dangerous,FOOD,NonMagic
Item Number 496             Name: Rusted flask of clear liquor                        Age:  226 years,  153 days 	Tags: Dangerous,FOOD,NonMagic
Item Number 497             Name: Folded paper bag with popcorn kernels               Age:    0 years,  263 days 	Tags: FOOD,NonMagic,Safe
Item Number 498             Name: Cloth bundle of boiled potatoes                     Age:    5 years,  107 days 	Tags: FOOD,NonMagic,Safe
Item Number 499             Name: Stale bread crust (gnawed)                          Age:    2 years,  310 days 	Tags: FOOD,NonMagic,Safe
Item Number 500             Name: Corked bottle labeled “beet cordial”                Age:  216 years,  300 days 	Tags: Dangerous,FOOD,NonMagic
